method,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,purity
K-Means,0.125,48.32,1.85,0.058,0.128,0.302
GMM,0.118,45.67,1.92,0.051,0.119,0.289
Agglomerative,0.112,42.15,2.05,0.042,0.108,0.274
Spectral,0.058,35.28,2.35,0.045,0.115,0.291
PCA_Baseline,0.025,14.52,3.12,0.038,0.055,0.213
